prename,Crest,SB,CPPs,Entropy,dEGGmax,Qcontact,postname,Crest,SB,CPPs,Entropy,dEGGmax,Qcontact,,,0     Crest        -0.037829  0.038366
AMOlil,2.282908349,-19.95470442,9.251429915,1.736561812,6.906188126,0.420312001,AMOlil,2.059635964,-23.57580404,7.653950934,2.310193251,6.602708019,0.389694363,,,1        SB         0.407841  0.207547
ARGdom,1.851182035,-27.5466464,9.457939869,3.160934361,5.899480185,0.396032754,ARGdom,2.097983109,-28.97720101,9.221081471,2.313222195,7.383577999,0.381502622,,,2      CPPs         0.317676  0.023533
BELmar,2.175056754,-21.02854715,9.934330725,3.484528152,5.85352577,0.441928259,BELmar,2.233994336,-21.55940918,8.909150834,4.393323063,5.209737486,0.447069685,,,3   Entropy        -0.042310  0.735201
BERcol,1.890540259,-30.03217976,8.967754999,3.031097719,4.958330115,0.408897362,BERcol,2.117854898,-25.9483298,7.048693431,3.177886178,6.033369204,0.398931391,,,4   dEGGmax        -0.059254  0.642180
BERisa,1.783641684,-31.15294471,5.870797546,5.012834891,6.734482433,0.471235365,BERisa,1.853100275,-28.72670871,5.473483644,2.824770608,5.336423082,0.434205887,,,5  Qcontact         0.000476  0.905868
BERmar,2.239118231,-27.81483231,9.195876572,3.538075338,7.490255511,0.418012244,BERmar,2.351644139,-28.93408135,7.447507544,3.208915743,8.717689764,0.43637954,,,
BESfer,2.128341109,-23.92012971,9.147249765,2.161921107,5.028493273,0.434620297,BESfer,2.204985841,-22.2278543,10.36797128,2.607007168,6.12362003,0.46960225,,,
BIBane,1.908277735,-29.7107816,8.679753839,3.533909594,6.403459215,0.401276708,BIBane,1.934728092,-28.26090068,8.778542431,4.26606319,6.349191845,0.394770754,,,
BOYvit,2.28909738,-22.60657107,10.14825121,1.412667204,6.805505257,0.414802483,BOYvit,2.487368957,-21.41031863,11.65401134,0.698930628,8.044646127,0.417774205,,,
BRUmar,2.032227921,-24.52210485,7.590328106,4.497058772,4.990151168,0.446041653,BRUmar,2.177872409,-27.68244904,6.921611303,4.252211096,5.136335847,0.454799601,,,
BUSjea,2.036309928,-31.89421887,8.666831093,2.276648907,6.22273518,0.41859531,BUSjea,2.386637316,-26.88386393,8.936637633,3.366961666,7.271972443,0.442554247,,,
CALcla,1.968004661,-26.69246575,7.654745934,2.999208732,5.678591461,0.420350626,CALcla,1.920161346,-28.40316864,8.109480107,3.337547193,5.287068841,0.422345907,,,
CARsyl,2.019362777,-30.87906208,6.88198583,2.880107493,5.803735764,0.425176268,CARsyl,2.107987319,-29.71870319,6.889874036,3.697862536,6.362430137,0.40870811,,,
CAYchr,1.964863989,-29.53254337,8.473527551,4.354349498,5.739404468,0.424856485,CAYchr,1.989680073,-29.68699133,7.548041771,3.758799767,5.280172099,0.426360437,,,
CEBjoc,2.109690774,-25.01031496,8.924507967,3.61023145,6.93636661,0.429768625,CEBjoc,2.27458439,-26.7618409,6.1346137,3.584906305,8.629667639,0.419407238,,,
CECmar,1.950884337,-33.77583253,8.555106752,5.270573921,5.41675634,0.43610804,CECmar,2.162018141,-32.42958314,8.321999264,2.994506758,6.456721786,0.419801241,,,
CHAann,2.03739001,-29.80262477,9.519616114,2.011161103,6.574939027,0.421552918,CHAann,2.077544503,-28.92951354,9.932334553,1.873982624,6.045675222,0.409306818,,,
