prename,Crest,SB,CPPs,Entropy,dEGGmax,Qcontact,postname,Crest,SB,CPPs,Entropy,dEGGmax,Qcontact
AMOlil,-20.31957250953807,8.65666872850411,1.8325646586420459,7.2277356158613575,0.4170146849274298,1.5355175726664243,AMOlil,-23.26128656800675,6.9848875907543775,2.8206263384927857,6.4902502033949405,0.38853884674031036,1.0735411118258578
ARGdom,-29.142810222703435,7.612145905604492,3.6780709250632455,6.684836185942017,0.3931460437158489,1.0834769996661218,ARGdom,-30.25536083487204,8.066534705932124,3.216158259790352,7.173365640852237,0.38782562313291985,1.1110875840379022
BELmar,-22.35491191994775,9.07139161347062,3.867664074381907,5.967277047333445,0.4319293077721747,1.3273994851386997,BELmar,-22.45676493651865,8.132881565150278,4.605259319319003,5.165023606406008,0.44964792287227623,1.3548271986172538
BERcol,-28.781020201515307,7.165152135758014,3.6269988903614334,5.3504563597116634,0.39072448452461117,1.8482558365348334,BERcol,-27.453890630373362,6.6580873224644,3.655873959295767,5.50669454303116,0.39788623899169784,1.9411877457658273
BERisa,-32.16193447623797,5.375066172001079,5.584042422963837,6.390453564685996,0.4877411529291342,1.1309964048598924,BERisa,-28.865929859388313,5.117425248216802,3.4194488938604484,4.765146324489538,0.4464591675685932,1.8297213415021405
BERmar,-29.424808368021964,8.64754367347166,3.321502175976473,8.394959417810409,0.4170252203358227,1.3892411282005095,BERmar,-29.457540865562514,7.355270196078958,3.418309861132019,8.538865126694933,0.43679168644647104,1.0688775759102493
BESfer,-22.750600788418172,7.3901597501314615,3.921746067419467,4.328889786728455,0.45371945756023807,1.3407265071624994,BESfer,-21.771953120601495,9.999373390392941,3.825637125282605,5.486520051446764,0.4809583208666758,1.601584109135017
BIBane,-30.633811047987287,7.55807040430639,4.5435165098207735,5.803279455371375,0.42869161109967335,1.1480784877981036,BIBane,-28.555591803141223,8.081291087690978,4.909282554699723,6.2254840150341995,0.40737550051389243,1.0907278573817778
BOYvit,-22.2355218059137,8.897302473050715,1.8660025674856582,7.494368369043373,0.3957085432780083,1.1801135735150923,BOYvit,-21.933585340976382,10.515300854927874,1.198931976203009,8.186725402835009,0.41545195751569625,1.4047353690292315
BRUmar,-24.674328785535245,6.8545076697047245,4.682163412450093,5.756429245662489,0.44343098037447715,1.5570526622612058,BRUmar,-30.353444663672953,6.710818669695963,4.9340349197764635,4.7556655317553025,0.4578075584755425,1.3059219604899004
BUSjea,-31.789823425185695,6.692723514334751,2.777181831809392,6.5927446841245185,0.3910484620814436,1.1359063712346027,BUSjea,-27.494422692065385,8.146122904374899,3.6504646736838393,7.0437600757483985,0.4355935796740654,1.7071822214168446
CALcla,-26.43178796168332,6.211380650739795,4.571538368873554,5.959117565744329,0.4581528795389529,1.2900825444603754,CALcla,-28.962969467590238,7.65579181589825,4.076682647543349,4.974593391689537,0.43976575081392055,1.4149308041997506
CARsyl,-30.957902090229222,6.26330149240046,3.417048242639706,5.72716843547789,0.42057675799489586,1.1039459933695992,CARsyl,-30.031807506833356,6.87273852359594,3.8213995333848354,5.881939159230164,0.40092525183657896,1.2237187974834511
CAYchr,-32.843838689455545,6.640240154696475,5.232709394551115,5.763285095214149,0.451488685229657,1.664307804487919,CAYchr,-30.377822938371743,7.177742768161658,4.689755935343881,4.480685779774795,0.43293678673478425,1.5602181693160464
CEBjoc,-24.746614631423853,7.356691475355097,3.818577563337978,7.886361991755484,0.44160788414260727,1.3967558885024105,CEBjoc,-26.608205264749795,5.4789611066848245,4.047482770447853,8.013437423849378,0.4148611840993095,1.1041002544055543
CECmar,-34.137177730774056,6.758947545956905,5.623302251737132,5.516164812442829,0.4336232849063723,1.1409560626821913,CECmar,-31.952963908776567,7.731440491300691,3.718590634536517,5.874989651079518,0.4250561570666618,1.5017267870731263
